其它,#genre#
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8#http://stream.qhbtv.com/adws/playlist.m3u8?_upt=739abf201649062902
大湾区卫视,http://180.97.247.27/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel58/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8#http://ci.emdoor.tech:8080/touchtv.php?pk=1197
东森卫视HD,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=156394
海峡卫视,http://protv.fun/play/live.php?mac=00:1A:79:50:63:9E&stream=156424&extension=ts#http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=156424
南方卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8?
农林卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8?
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
天下卫视 1,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=156399
天下卫视 2,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=156400
天下卫视1,http://protv.fun/play/live.php?mac=00:1A:79:50:63:9E&stream=156399&extension=ts
天下卫视2,http://protv.fun/play/live.php?mac=00:1A:79:50:63:9E&stream=156400&extension=ts
卫视电影,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8578/.m3u8
卫视电影台,http://protv.fun/play/live.php?mac=00:1A:79:50:63:9E&stream=941625&extension=ts#http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=941625
卫视西片,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8583/.m3u8
卫视中文,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8523/.m3u8
卫视中文台,http://50.7.238.114:8278/weishichinese_twn/playlist.m3u8?ct=19226&tid=MA8A7894022878940228&tsum=c0323ce59263e0096d4181626874e17c
星空卫视 ID,http://protv.fun/play/live.php?mac=00:1A:79:50:63:9E&stream=683118&extension=ts

卫视,#genre#
安徽卫视,http://222.134.240.136:9901/tsfile/live/0130_1.m3u8#https://iptv.luas.edu.cn/liverespath/6e91e17de838dbf7c77f9ed8e41726bd4a1516f5/494a63d492-0-0-94541fa104bd30ce82410455ab950402/index.m3u8#http://111.225.92.130:8800/hls/33/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=ahwshd8m/8000000#http://221.2.36.34:8888/newlive/live/hls/25/live.m3u8#http://111.59.63.32:9901/tsfile/live/1027_1.m3u8#https://live.v1.mk/api/ghyx.php?id=AnHuiHD_6000
安徽卫视 (1080p),http://live.dxhmt.cn:9081/tv/11003-1.m3u8
北京卫视,http://218.15.229.90:9901/tsfile/live/0122_1.m3u8#http://111.225.92.130:8800/hls/34/index.m3u8#http://58.220.219.14:9901/tsfile/live/0122_1.m3u8?key=txiptv#http://218.13.170.98:9901/tsfile/live/1004_1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8?#http://111.59.63.32:9901/tsfile/live/1030_1.m3u8
兵团卫视,http://222.134.240.136:9901/tsfile/live/0115_1.m3u8#http://218.13.170.98:9901/tsfile/live/0115_1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
重庆卫视,http://218.15.229.90:9901/tsfile/live/0142_1.m3u8#http://111.225.92.130:8800/hls/47/index.m3u8#http://61.169.37.218:9901/tsfile/live/0114_1.m3u8?key=txiptv#http://218.17.196.234:9901/tsfile/live/0142_1.m3u8#https://sjlivecdn9.cbg.cn/204912315959/app_2/_definst_/ls_2.stream/chunklist.m3u8#http://111.59.63.32:9901/tsfile/live/1035_1.m3u8
东方卫视,https://iptv.luas.edu.cn/liverespath/4015e6015b3b818a4cbc2247960b8536a3cd0153/0bc51b40df-0-0-23a64a0dc546104d1ba498a41ff49540/index.m3u8#http://222.134.240.136:9901/tsfile/live/0107_1.m3u8#http://111.225.92.130:8800/hls/46/index.m3u8#http://218.13.170.98:9901/tsfile/live/1010_1.m3u8#http://61.169.37.218:9901/tsfile/live/0107_1.m3u8?key=txiptv#http://223.95.111.98:5555/newlive/live/hls/40/live.m3u8#http://222.71.221.186:9901/tsfile/live/0016_1.m3u8#http://221.2.36.34:8888/newlive/live/hls/20/live.m3u8
东南卫视,http://222.134.240.136:9901/tsfile/live/0137_1.m3u8#http://111.225.92.130:8800/hls/48/index.m3u8#https://iptv.luas.edu.cn/liverespath/7a202b5f39c56db4ca3ca7a3dc21b073c9bc472a/d9afa7cc30-0-0-3e5c5bdb7f887a673145f9e5fe249e7c/index.m3u8#http://61.169.37.218:9901/tsfile/live/0137_1.m3u8?key=txiptv#http://42.176.185.28:9901/tsfile/live/1014_1.m3u8#https://live.goodiptv.club/api/bestv.php?id=dnwshd8m/8000000#https://live.v1.mk/api/bestv.php?id=dnwshd8m/8000000
东南卫视 (1080p),http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
甘肃卫视,http://218.13.170.98:9901/tsfile/live/0141_1.m3u8#http://61.169.37.218:9901/tsfile/live/0119_1.m3u8?key=txiptv#http://58.220.219.14:9901/tsfile/live/0141_1.m3u8?key=txiptv#http://218.17.196.234:9901/tsfile/live/0141_1.m3u8
甘肃卫视 (576p),http://wanzhoulive.cbg.cn:8017/c2F0hmi/1000/live.m3u8#http://live.zohi.tv/video/s10001-fztv-3/index.m3u8#http://live.dxhmt.cn:9081/tv/11521-1.m3u8
广东卫视,https://iptv.luas.edu.cn/liverespath/57e80ee85ec1f4e523e1bca55f5a676abd292db8/0ff9a42344-0-0-0eb4f8fe53cdbc02d1db696ecc425752/index.m3u8#http://218.13.170.98:9901/tsfile/live/0017_1.m3u8#https://live.goodiptv.club/api/bestv.php?id=gdwshd8m/8000000#http://ci.emdoor.tech:8080/touchtv.php?pk=1182#http://61.169.37.218:9901/tsfile/live/1006_1.m3u8?key=txiptv#http://58.220.219.14:9901/tsfile/live/0125_1.m3u8?key=txiptv#http://223.95.111.98:5555/newlive/live/hls/32/live.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226216/1.m3u8#http://111.59.63.32:9901/tsfile/live/1032_1.m3u8
广西|广西卫视,http://111.59.63.32:9901/tsfile/live/1003_1.m3u8
广西卫视,http://58.220.219.14:9901/tsfile/live/0113_1.m3u8?key=txiptv#http://live.gxrb.com.cn/tv/gxtvlive03/index.m3u8#http://218.15.229.90:9901/tsfile/live/0113_1.m3u8#http://111.225.92.130:8800/hls/50/index.m3u8#http://222.175.159.226:808/hls/202362/index.m3u8#http://221.2.36.34:8888/newlive/live/hls/26/live.m3u8#https://live.v1.mk/api/ghyx.php?id=GuangXiHD_6000
广西卫视 (576p),http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8#http://live.cztv.cc:85/live/ggpd.m3u8
贵州卫视,http://222.134.240.136:9901/tsfile/live/0120_1.m3u8#http://218.15.229.90:9901/tsfile/live/0120_1.m3u8#http://111.225.92.130:8800/hls/43/index.m3u8#http://218.13.170.98:9901/tsfile/live/1014_1.m3u8#http://58.220.219.14:9901/tsfile/live/0120_1.m3u8?key=txiptv#http://218.17.196.234:9901/tsfile/live/0120_1.m3u8#http://222.175.159.226:808/hls/202355/index.m3u8#http://111.59.63.32:9901/tsfile/live/1036_1.m3u8#https://live.v1.mk/api/bestv.php?id=gzwshd8m/8000000
贵州卫视 (576p),http://hbbz.chinashadt.com:2036/live/stream:bzgg.stream/playlist.m3u8
海南卫视,http://livelyws.chinamcache.com/lyws/zb01.m3u8#https://iptv.luas.edu.cn/liverespath/6439a34cf7b96bdfd8c4234fc91cb4912c9becd1/a9d3355361-0-0-9516fa9fec91286e254ead3ca0961a27/index.m3u8#http://218.13.170.98:9901/tsfile/live/1020_1.m3u8#http://61.169.37.218:9901/tsfile/live/0126_1.m3u8?key=txiptv#http://58.220.219.14:9901/tsfile/live/0120_2.m3u8?key=txiptv#http://218.17.196.234:9901/tsfile/live/1000_1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8?#https://live.goodiptv.club/api/bestv.php?id=hainanwshd8m/8000000#http://221.2.36.34:8888/newlive/live/hls/47/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8#https://live.v1.mk/api/ghyx.php?id=LvYouWeiShiHD_6000
河北卫视,https://iptv.luas.edu.cn/liverespath/0d0303a991ca71e06290b546e34104dbe0d0c64a/b12d4a68a3-0-0-521fc1584583f4058abf1ad14cee60f7/index.m3u8#http://222.134.240.136:9901/tsfile/live/0117_1.m3u8#http://111.225.92.130:8800/hls/17/index.m3u8#http://218.13.170.98:9901/tsfile/live/1016_1.m3u8#http://218.17.196.234:9901/tsfile/live/0117_1.m3u8#http://61.169.37.218:9901/tsfile/live/0139_1.m3u8?key=txiptv#http://58.220.219.14:9901/tsfile/live/0117_1.m3u8?key=txiptv#http://222.175.159.226:808/hls/202357/index.m3u8
河北卫视 (576p),https://tmpstream.hyrtv.cn/hygg/sd/live.m3u8#http://file.hhtv.cc/cms/videos/nmip-media/channellive/channel1/playlist.m3u8
河南卫视,http://111.225.92.130:8800/hls/39/index.m3u8#http://58.220.219.14:9901/tsfile/live/0139_1.m3u8?key=txiptv#http://218.17.196.234:9901/tsfile/live/0139_1.m3u8#http://222.175.159.226:808/hls/202361/index.m3u8#http://media.hndyjyfw.gov.cn/live/jz-hnweishi/live.m3u8
黑龙江卫视,http://111.225.92.130:8800/hls/40/index.m3u8#http://gmxw.7766.org:808/hls/48/index.m3u8#http://113.117.74.28:8081/hls/50/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=hljwshd8m/8000000#http://111.59.63.32:9901/tsfile/live/1045_1.m3u8#https://live.v1.mk/api/bestv.php?id=hljwshd8m/8000000
黑龙江卫视 (1080p),http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8
